objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587739707405763156,4646,40,3,80,596,6,205.39453849,28.33046436,21.884193,20.805861,20.45882,20.293409,20.352325,0.18543,0.028283,0.029245,0.037135,0.16033
587739707405763157,4646,40,3,80,597,6,205.39790977,28.33237401,22.975809,22.563387,21.93696,21.510036,21.231188,0.458123,0.113061,0.095484,0.101387,0.330981
587739707405763218,4646,40,3,80,658,6,205.4013926,28.32429187,19.699556,18.693895,18.325403,18.164225,18.115068,0.035842,8.028753E-3,7.776398E-3,8.839528E-3,0.025552
587739707405763219,4646,40,3,80,659,6,205.39862385,28.3249717,22.456642,21.361799,20.956022,20.668751,20.811672,0.29769,0.042302,0.042508,0.049703,0.235287
587739707405763220,4646,40,3,80,660,6,205.39941914,28.32344585,25.702526,22.50675,21.906359,21.666685,21.238104,0.762595,0.108828,0.094296,0.117859,0.340404
587739707405763249,4646,40,3,80,689,3,205.41900347,28.40956925,20.164171,19.212759,18.91926,18.809013,18.731253,0.063109,0.012214,0.012824,0.016884,0.057474
587739707405763253,4646,40,3,80,693,6,205.42218454,28.40781177,20.891354,19.856483,19.567904,19.438381,19.537968,0.084954,0.015362,0.015988,0.020393,0.082485
587739707405763256,4646,40,3,80,696,6,205.4070251,28.33195159,19.685673,18.770048,18.46018,18.370049,18.306902,0.035861,8.363586E-3,8.34486E-3,9.976136E-3,0.029982
587739707405763257,4646,40,3,80,697,6,205.40360848,28.33213985,20.787455,19.70332,19.413544,19.328562,19.202085,0.081471,0.014217,0.014666,0.018934,0.064071
587739707405763258,4646,40,3,80,698,6,205.40620089,28.33149488,21.379168,20.217676,19.891821,19.800434,19.738243,0.124681,0.019431,0.019623,0.025514,0.094467
587739707405763259,4646,40,3,80,699,6,205.40456404,28.33359229,21.598429,20.597748,20.217537,20.09248,20.172762,0.167645,0.027476,0.027549,0.036842,0.162572
587739707405763260,4646,40,3,80,700,6,205.40594728,28.33545287,23.51244,21.486855,21.170238,20.887506,20.464907,0.697929,0.047841,0.051034,0.060041,0.175437
587739707405763261,4646,40,3,80,701,6,205.40719865,28.33312436,22.123711,21.35955,20.86867,20.767965,20.576477,0.227821,0.043253,0.040305,0.05454,0.193858
587739707405763262,4646,40,3,80,702,6,205.40644777,28.33651047,22.547205,21.610268,21.073547,20.832821,21.310116,0.344177,0.05542,0.049941,0.062002,0.388713
